day,idx,date,count,tavg,prcp,snow,wspd,holiday,std dev
6,1,3/22/2024,53,34.90,0.13,0.00,10.50,lent friday,
7,2,3/23/2024,44,34.00,0.00,0.00,11.90,,
1,3,3/24/2024,37,37.40,0.00,0.00,14.30,,
2,4,3/25/2024,19,50.90,0.47,0.00,11.90,,
3,5,3/26/2024,34,50.70,0.14,0.00,19.30,,
4,6,3/27/2024,48,34.30,0.00,0.00,12.70,,
5,7,3/28/2024,37,38.50,0.00,0.00,7.10,,
6,8,3/29/2024,49,42.30,0.03,0.00,7.60,good friday,
7,9,3/30/2024,73,48.20,0.40,0.00,8.70,,
1,10,3/31/2024,21,42.60,0.26,0.00,10.50,easter,
2,11,4/1/2024,43,43.50,0.44,0.00,14.30,,
3,12,4/2/2024,41,43.20,0.40,0.00,14.10,,
4,13,4/3/2024,46,36.10,0.30,0.00,14.10,,
5,14,4/4/2024,66,38.10,0.07,0.00,13.70,,
6,15,4/5/2024,125,41.70,0.00,0.00,10.50,,
7,16,4/6/2024,164,42.40,0.00,0.00,7.60,,
1,17,4/7/2024,42,44.10,0.37,0.00,10.50,,
2,18,4/8/2024,48,55.00,0.00,0.00,11.20,,
3,19,4/9/2024,69,59.70,0.00,0.00,8.50,,
4,20,4/10/2024,39,56.10,0.00,0.00,4.90,,
5,21,4/11/2024,96,55.60,0.01,0.00,9.80,,
6,22,4/12/2024,158,54.10,0.06,0.00,13.40,,
7,23,4/13/2024,186,55.40,0.00,0.00,9.60,,
1,24,4/14/2024,64,69.40,0.00,0.00,11.40,,
2,25,4/15/2024,58,62.80,0.00,0.00,7.80,,
3,26,4/16/2024,117,62.80,0.10,0.00,13.90,,
4,27,4/17/2024,94,65.50,0.19,0.00,17.20,,
5,28,4/18/2024,49,53.60,0.10,0.00,7.40,,
6,29,4/19/2024,134,49.30,0.00,0.00,16.30,,
7,30,4/20/2024,164,42.60,0.00,0.00,11.90,,
1,31,4/21/2024,48,43.70,0.00,0.00,8.30,,
2,32,4/22/2024,32,53.40,0.00,0.00,13.70,,
3,33,4/23/2024,48,59.20,0.00,0.00,15.90,,
4,34,4/24/2024,66,45.10,0.00,0.00,13.40,,
5,35,4/25/2024,32,43.70,0.00,0.00,6.00,,
6,36,4/26/2024,138,49.30,0.38,0.00,13.40,,
7,37,4/27/2024,148,65.70,0.03,0.00,15.70,,
1,38,4/28/2024,56,67.30,0.36,0.00,9.80,,
2,39,4/29/2024,43,66.40,0.66,0.00,10.50,,
3,40,4/30/2024,64,60.40,0.00,0.00,7.60,,
4,41,5/1/2024,44,69.40,0.01,0.00,10.50,,
5,42,5/2/2024,86,65.70,0.63,0.00,8.90,,
6,43,5/3/2024,148,64.60,0.16,0.00,7.80,,
7,44,5/4/2024,133,63.10,0.22,0.00,8.50,,
1,45,5/5/2024,84,58.80,0.00,0.00,8.10,cinco de mayo,
2,46,5/6/2024,31,58.10,0.00,0.00,8.70,,
3,47,5/7/2024,53,65.30,0.78,0.00,10.10,,
4,48,5/8/2024,38,66.70,0.00,0.00,7.10,,
5,49,5/9/2024,104,58.80,0.51,0.00,11.40,,
6,50,5/10/2024,169,55.00,0.11,0.00,8.50,,
7,51,5/11/2024,184,59.70,0.00,0.00,9.60,,
1,52,5/12/2024,143,63.70,0.00,0.00,9.40,mothers day,
2,53,5/13/2024,57,72.30,0.12,0.00,8.50,,
3,54,5/14/2024,57,58.10,0.03,0.00,14.30,,
4,55,5/15/2024,77,57.90,0.00,0.00,11.90,,
5,56,5/16/2024,78,61.90,0.48,0.00,7.10,,
6,57,5/17/2024,160,68.50,0.00,0.00,5.30,,
7,58,5/18/2024,157,71.20,0.00,0.00,6.00,,
1,59,5/19/2024,70,74.50,0.00,0.00,9.20,,
2,60,5/20/2024,68,71.10,0.00,0.00,10.50,,
3,61,5/21/2024,40,74.70,0.00,0.00,15.20,,
4,62,5/22/2024,78,73.60,0.00,0.00,14.80,,
5,63,5/23/2024,65,69.10,0.00,0.00,5.80,,
6,64,5/24/2024,151,69.40,0.06,0.00,10.10,,
7,65,5/25/2024,133,67.60,0.00,0.00,8.30,,
1,66,5/26/2024,82,63.30,0.74,0.00,8.90,,
2,67,5/27/2024,63,63.90,0.00,0.00,11.20,memorial day,
3,68,5/28/2024,38,63.00,0.21,0.00,7.80,,
4,69,5/29/2024,76,60.10,0.00,0.00,10.90,,
5,70,5/30/2024,73,58.50,0.00,0.00,7.10,,
6,71,5/31/2024,169,63.90,0.00,0.00,7.10,,
7,72,6/1/2024,118,66.20,0.95,0.00,7.00,,
1,73,6/2/2024,40,64.90,0.00,0.00,6.70,,
2,74,6/3/2024,67,70.50,0.00,0.00,9.20,,
3,75,6/4/2024,80,78.60,0.13,0.00,8.10,,
4,76,6/5/2024,72,73.60,0.30,0.00,9.80,,
5,77,6/6/2024,51,72.30,0.00,0.00,14.10,,
6,78,6/7/2024,168,69.40,0.00,0.00,10.90,,
7,79,6/8/2024,140,67.30,0.07,0.00,6.70,,
1,80,6/9/2024,76,64.80,0.00,0.00,13.00,,
2,81,6/10/2024,74,61.20,0.01,0.00,10.50,,
3,82,6/11/2024,70,62.80,0.00,0.00,5.60,,
4,83,6/12/2024,77,76.50,0.00,0.00,8.10,,
5,84,6/13/2024,75,81.50,0.01,0.00,9.60,,
6,85,6/14/2024,128,77.40,0.00,0.00,8.70,,
7,86,6/15/2024,157,70.90,0.00,0.00,10.10,,
1,87,6/16/2024,97,80.40,0.01,0.00,12.60,fathers day,
2,88,6/17/2024,93,84.40,0.00,0.00,12.30,,
3,89,6/18/2024,51,85.30,0.00,0.00,15.40,,
4,90,6/19/2024,56,84.70,0.09,0.00,9.60,juneteenth,
5,91,6/20/2024,94,77.00,0.01,0.00,8.50,,
6,92,6/21/2024,200,76.30,0.00,0.00,6.00,,
7,93,6/22/2024,133,82.40,0.91,0.00,14.10,,
1,94,6/23/2024,82,76.50,0.00,0.00,9.80,,
2,95,6/24/2024,54,75.60,0.00,0.00,5.60,,
3,96,6/25/2024,38,79.50,0.45,0.00,13.40,,
4,97,6/26/2024,85,79.00,0.00,0.00,9.60,,
5,98,6/27/2024,78,68.50,0.00,0.00,9.80,,
6,99,6/28/2024,176,68.00,0.15,0.00,7.10,,
7,100,6/29/2024,180,78.10,0.01,0.00,10.50,,
1,101,6/30/2024,69,69.10,0.00,0.00,12.10,,
2,102,7/1/2024,81,65.30,0.00,0.00,7.40,,
3,103,7/2/2024,58,71.80,0.01,0.00,11.40,,
4,104,7/3/2024,112,79.90,0.09,0.00,7.60,,
5,105,7/4/2024,88,77.40,0.00,0.00,3.10,independence day,
6,106,7/5/2024,151,76.30,0.00,0.00,11.20,,
7,107,7/6/2024,194,72.30,0.00,0.00,5.30,,
1,108,7/7/2024,54,73.90,1.07,0.00,7.40,,
2,109,7/8/2024,85,75.20,0.00,0.00,7.80,,
3,110,7/9/2024,47,76.80,0.38,0.00,5.20,,
4,111,7/10/2024,71,73.20,0.23,0.00,7.80,,
5,112,7/11/2024,135,72.70,0.00,0.00,7.00,,
6,113,7/12/2024,167,74.70,0.00,0.00,6.00,,
7,114,7/13/2024,184,78.80,1.60,0.00,7.60,,
1,115,7/14/2024,65,75.70,1.64,0.00,8.90,,
2,116,7/15/2024,73,79.00,0.53,0.00,8.10,,
3,117,7/16/2024,86,77.40,0.00,0.00,8.10,,
4,118,7/17/2024,103,76.60,0.00,0.00,10.90,,
5,119,7/18/2024,87,69.10,0.00,0.00,9.20,,
6,120,7/19/2024,190,69.40,0.00,0.00,6.30,,
7,121,7/20/2024,202,72.50,0.00,0.00,3.80,,
1,122,7/21/2024,69,74.50,0.00,0.00,4.50,,
2,123,7/22/2024,83,74.10,0.00,0.00,4.00,,
3,124,7/23/2024,107,75.90,0.20,0.00,6.50,,
4,125,7/24/2024,101,71.80,0.00,0.00,6.70,,
5,126,7/25/2024,154,70.70,0.00,0.00,7.40,,
6,127,7/26/2024,181,71.10,0.00,0.00,5.80,,
7,128,7/27/2024,208,74.80,0.00,0.00,6.00,,
1,129,7/28/2024,92,76.50,0.03,0.00,7.80,,
